59
3947
896
23191
1341
4854
2854
4067
2007
731
2841
875
16313
854
2027
1118
3918
2056
1724
1535
9819
2164
1522
920
8994
2504
1852
2034
990
18313
2354
1355
902
1055
14954
10460
1885
1949
1540
7996
16364
4937
2424
1378
2308
1961
4051
9481
10198
2177
1400
2631
672
1950
542
2264
593
2061
2260
6049
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
8,10
9,11
10,11
11,12
12,17
13,15
14,15
15,16
16,18
17,19
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
29,43
30,31
31,32
31,34
31,35
31,38
31,40
31,46
31,47
32,33
33,48
34,48
35,49
38,48
39,49
40,49
41,42
42,43
43,44
44,45
44,49
45,49
46,49
47,48
48,49
49,50
50,51
50,53
50,55
50,57
51,52
52,58
53,54
54,58
55,56
56,58
57,56
58,59
